cte_N10_dt01_wd100	steering_N10_dt01_wd100	epsi_N10_dt01_wd100	acc_N10_dt01_wd100	cost_N10_dt01_wd100		cte_N10_dt005_wd500	steering_N10_dt005_wd500	epsi_N10_dt005_wd500	acc_N10_dt005_wd500	cost_N10_dt005_wd500		cte_N10_dt01_wd500	steering_N10_dt01_wd500	epsi_N10_dt01_wd500	acc_N10_dt01_wd500	cost_N10_dt01_wd500		cte_N7_dt01_wd100	steering_N7_dt01_wd100	epsi_N7_dt01_wd100	acc_N7_dt01_wd100	cost_N7_dt01_wd100		cte_N8_dt005_wd500	steering_N8_dt005_wd500	epsi_N8_dt005_wd500	acc_N8_dt005_wd500	cost_N8_dt005_wd500		cte_N10_dt005_wd500_ad	steering_N10_dt005_wd500_ad	epsi_N10_dt005_wd500_ad	acc_N10_dt005_wd500_ad	cost_N10_dt005_wd500_ad
-0.303765	-0.0278603	0.00671563	1	261405		-0.0276689	-0.0219103	0.00527779	0.461534	13789		-0.264502	-0.0307258	0.0051781	0.313442	3.35912		0.0272369	-0.0181527	0.0112828	0.452638	6.30037		0.269069	-0.0177241	0.0105865	0.455515	18151		-0.0101588	-0.0337956	-0.0067948	0.457349	13.7002
-0.323616	-0.0249191	0.0050185	1	172135		-0.0298351	-0.0275838	0.00160854	0.459043	13.7495		-0.279939	-0.028155	0.00417874	-0.0550329	1.5786		-0.00853772	-0.0178563	0.0116713	0.492928	7.36526		0.237765	-0.0169766	0.0101466	0.455233	18043		0.0139037	-0.0385857	-0.00975629	0.456724	13.8329
-0.338907	-0.0292093	0.00396436	1	103979		-0.0302594	-0.0322109	-0.000193069	0.457268	13.7686		-0.293629	-0.0330902	0.00376715	0.11677	1.9163		-0.0388996	-0.0200472	0.0111299	0.496623	7.47066		0.212913	-0.0192327	0.00905758	0.455287	18.0286		0.0479983	-0.0429291	-0.01147	0.458291	14.125
-0.350842	-0.0326729	0.00265816	1	54.5296		-0.0257452	-0.0277897	-0.00197436	0.456986	13.7598		-0.303256	-0.0324607	0.00343335	1	138714		-0.0711486	-0.0214312	0.00967624	0.470759	6.77092		0.188352	-0.0214547	0.00711468	0.455458	18.0466		0.0834403	-0.0450144	-0.0112591	0.459753	14.3792
-0.359108	-0.034943	0.00115118	0.958852	19.2032		-0.018175	-0.0357209	-0.00278211	0.457993	14.0087		-0.313182	-0.0304682	0.00310053	1	221704		-0.098077	-0.0242232	0.00770858	0.442999	6.08218		0.170655	-0.0237307	0.0047361	0.455654	18.1025		0.110738	-0.0456525	-0.00959525	0.460707	14.5437
-0.36228	-0.0369367	0.000291987	0.376265	4.13646		-0.00950649	-0.0389652	-0.00344435	0.458873	14188		-0.325378	-0.0349338	0.00311391	1	134441		-0.115866	-0.0255364	0.00582903	0.436738	5.96137		0.161549	-0.0274611	0.00262378	0.455788	18.2054		0.134775	-0.0440411	-0.00625497	0.460969	14.5976
-0.363008	-0.0383224	-4.47E-06	-0.120859	1.73295		0.00234433	-0.0316404	-0.00366258	0.459655	14.1749		-0.335696	-0.0340487	0.00287331	1	76.3242		-0.118798	-0.0286983	0.0033732	0.450323	6.37633		0.169144	-0.0269744	-0.00022886	0.455854	18297		0.147241	-0.0411757	-0.00190843	0.460407	14.5375
-0.362622	-0.039874	0.000197823	-0.0538494	1.55452		0.0126049	-0.0397351	-0.00275948	0.459778	14.3849		-0.346551	-0.0376178	0.00276183	1	32.0004		-0.126492	-0.0300443	0.00191515	0.468275	6.90962		0.172491	-0.0310234	-0.00150394	0.455914	18.4596		0.11516	-0.0487789	-0.0273866	0.459445	14.4545
-0.352929	-0.038304	-0.0235677	1	64.6051		0.0203875	-0.0410119	-0.00221689	0.459242	14.4297		-0.379606	-0.0385425	-0.0259254	0.731802	12.6748		-0.130025	-0.0321429	0.000874422	0.474423	7.14027		0.17828	-0.0307246	-0.0024827	0.455937	18.5324		0.182929	-0.0397291	-0.0122452	0.45927	14.363
-0.287998	-0.0342708	-0.0119461	1	324201		-0.0333184	-0.0398455	-0.0342243	0.459069	14.3362		-0.310161	-0.0368273	-0.0149088	0.16701	2.92148		-0.131162	-0.0337581	-3.44E-05	0.468067	7.0419		0.187618	-0.0340208	-0.00322991	0.455993	18.7076		0.20156	-0.0308822	0.00141907	0.459717	14.2773
